Unnamed: 0,DISTRICT,BLOCK,PANCHAYAT,VILLAGE,LATITUDE,LONGITUDE,PH,P,K,CA,MG
100,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63135,76.66702,5.4,6.34,466.7,115.25,360.4
101,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63075,76.66815,6.3,61.17,528.3,624.85,500.0
102,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63021,76.66754,5.8,9.92,402.75,747.25,483.4
104,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62706,76.66482,5.9,11.85,455.17,794.25,321.33
105,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62862,76.66456,5.2,29.76,275.86,644.4,459.38
106,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63071,76.66343,5.6,5.79,365.79,535.1,500.0
107,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.63634,76.66386,5.0,6.61,232.74,684.25,233.8
108,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.618638889,76.66888889,4.3,10.75,188.94,120.1,109.4
109,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.616527778,76.67411111,5.3,58.13,370.72,380.2,145.05
110,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.615055556,76.67619444,6.0,10.19,265.78,615.6,191.03
111,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.61625,76.67588889,5.7,30.03,617.57,233.05,169.2
112,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.617083333,76.67561111,4.7,17.63,223.33,133.3,100.4
113,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.618083333,76.67580556,5.8,34.99,303.97,376.25,158.28
114,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.61875,76.67594444,4.6,14.05,212.24,125.7,107.1
115,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.619944444,76.67563889,4.3,7.99,307.55,140.8,46.55
116,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.620722222,76.67555556,4.4,6.61,132.61,165.7,63.23
117,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.621777778,76.67541667,5.4,5.79,264.43,191.6,94.65
118,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62525,76.67397222,6.0,76.87,304.64,399.9,225.33
119,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62525,76.67396,6.3,22.59,361.98,449.55,167.85
120,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62525,76.67395,6.0,9.64,318.75,183.05,78.95
121,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62525,76.673952,4.3,8.82,164.64,186.7,78.75
124,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.62525,76.67397122,6.1,11.85,281.01,239.2,132.4
125,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.6225,76.67172222,6.0,6.34,247.74,339.65,13.03
126,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625555556,76.67263889,6.5,14.05,245.73,590.6,210.0
127,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.624555556,76.67083333,5.7,14.6,152.43,196.9,167.48
128,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625222222,76.67158333,6.7,15.7,329.62,698.9,130.48
129,Kottayam,Pampady,Akalakunnam,Akalakunnu,9.625138889,76.67116667,4.7,24.25,268.8,793.8,116.08
